OBJECTID,Well_IDKey,Well_Name,Well_Depth,Well_Casing_Stickup,Well_Location_Latitude,Well_Location_Longitude,Well_Location_Elevation,Well_OSE_Permit,Well_Type,GlobalID,NMT_ID,IndexDesignation,AquiferCode,ScreenInterval,CreationDate,Creator,EditDate,Editor,x,y
33,82,Columbine Thompson 03,260,2.19,35.12412,-106.374826,6817.683,S-2746,DOM,5d785b3f-e4d8-416d-acf7-7beda4efaa25,BC-0008,Y,,,2024-05-08T21:25:55,ccarsrud_EH,2025-05-30T20:18:49,pheinstein_NRS,-106.374826,35.1241200000001
34,72,Columbine Thompson 04,540,1.28,35.127757,-106.375034,6891.692,S-1524 Pod 2,DOM,b9f114d3-d5ad-42cb-9541-02d5c2a0950e,BC-0009,Y,,,2024-05-08T21:25:55,ccarsrud_EH,2025-05-30T20:19:46,pheinstein_NRS,-106.375034,35.127757
35,73,Columbine Thompson 05,270,1.35,35.127739,-106.37513,6889.994,S-1524,DOM,3181c6d1-31c8-41b6-be5a-2b5818aa022e,BC-0010,M,313SADR,,2024-05-08T21:25:55,ccarsrud_EH,2025-05-30T20:20:45,pheinstein_NRS,-106.37513,35.1277390000001
36,175,Columbine Thompson 06,260,1.62,35.124048,-106.373567,6811.86,S-0082,DOM,7ef06378-eab8-49c8-a455-2ef29868c624,BC-0011,Y,,,2024-05-08T21:25:55,ccarsrud_EH,2025-05-30T20:22:02,pheinstein_NRS,-106.373567,35.1240480000001
37,176,Columbine Thompson 07,160,1.1,35.123948,-106.375639,6811.735,S-399,DOM,4c462e59-11f2-4998-b1ae-662a01c9bd21,BC-0012,Y,,,2024-05-08T21:25:55,ccarsrud_EH,2025-05-30T20:23:16,pheinstein_NRS,-106.375639,35.123948
38,222,Columbine Thompson 09,500,1.4,35.123104,-106.373629,6792.763,S-484,DOM,6e094168-0b34-43b3-a659-86de5dd378a1,BC-0222,Y,,,2024-05-08T21:25:55,ccarsrud_EH,2025-05-30T20:26:24,pheinstein_NRS,-106.373629,35.1231040000001
39,245,Columbine Thompson 10,179,2.4,35.126133,-106.379953,6930.938,S-00213,DOM,b8c7a64e-a29a-4e38-95c0-626b69396b78,BC-0245,Y,,,2024-05-08T21:25:55,ccarsrud_EH,2025-05-30T20:27:58,pheinstein_NRS,-106.379953,35.126133
40,380,Dennison Polo Park,152,0.99,34.962425,-106.7194817,4915.75,RG-90965,MW,e5cff7ba-3e8f-41b6-9bb3-82c4c1a9e170,BC-0374,M,112SNTF,,2024-05-08T21:25:55,ccarsrud_EH,2025-10-17T21:31:22,pheinstein_NRS,-106.7194817,34.9624250000001
41,381,Durand Open Space 1,20,0,35.003595,-106.688934,4921.694,RG-42763 POD1,MW,75fe5815-d844-4d5b-a76e-e0f44fa2310a,BC-0375,M,100ALVM,,2024-05-08T21:25:55,ccarsrud_EH,2025-10-17T21:44:19,pheinstein_NRS,-106.688934473797,35.0035948915616
42,408,Durand Open Space 2,20,0.875,35.00373,-106.689989,4920.91,RG-42763 POD2,MW,320d05b0-1650-4bc7-b921-8c007a9f1810,BC-0376,M,100ALVM,,2024-05-08T21:25:55,ccarsrud_EH,2025-10-20T14:12:51,pheinstein_NRS,-106.68998926123,35.0037297886792
43,345,Eagle Crest 01,500,1.8,35.0940083,-106.3616167,6674.676,S-01597 CLW2,DOM,91a1a98c-3102-4850-95fc-3b4ca4a0ccc1,BC-0336,Y,,418 - 498,2024-05-08T21:25:55,ccarsrud_EH,2025-05-30T21:15:34,pheinstein_NRS,-106.3616167,35.0940083
44,355,Eagle Crest 02,500,3,35.09345,-106.360967,6665.968,S-1653,DOM,175705cb-16c6-4c0d-9e0d-368d6eb88d83,BC-0337,Y,,,2024-05-08T21:25:55,ccarsrud_EH,2025-05-30T21:16:00,pheinstein_NRS,-106.360967,35.0934500000001
45,356,Eagle Crest 03,300,2.5,35.093497,-106.360925,6661.656,S-1653,DOM,d757940f-4575-49ef-b7ed-4f3fa045df27,BC-0338,Y,,,2024-05-08T21:25:55,ccarsrud_EH,2025-05-30T21:16:22,pheinstein_NRS,-106.360925,35.0934970000001
46,108,Echo Canyon 02,220,1.15,35.071764,-106.459859,6132.815,RG-64876,DOM,3c1058fb-3a7c-4598-819e-f69eb6e9729c,BC-0124,M,400SAND,200 - 220,2024-05-08T21:25:55,ccarsrud_EH,2025-05-30T21:17:15,pheinstein_NRS,-106.459859,35.071764
47,196,Echo Canyon 06,600,2.58,35.070375,-106.460937,6065.565,RG-73676 POD 2,DOM,e927f7ac-9a7d-42eb-bcb0-4494900a93f6,BC-0196,Y,400SAND,,2024-05-08T21:25:55,ccarsrud_EH,2025-05-30T21:18:20,pheinstein_NRS,-106.460937,35.0703750000001
48,229,Echo Canyon 07,400,1.36,35.06918,-106.460066,6025.839,RG-94390,DOM,e3ef36de-300b-44bf-92ee-8ee75bd1306b,BC-0229,Y,400SAND,,2024-05-08T21:25:55,ccarsrud_EH,2025-05-30T21:19:32,pheinstein_NRS,-106.460066,35.0691800000001
49,242,Echo Canyon 08,420,2.16,35.0681156718,-106.459316215,5991.453,RG-60925-POD2,DOM,cccfba15-3199-4076-b4d1-dae3e8ccd5fa,BC-0242,M,400SAND,,2024-05-08T21:25:55,ccarsrud_EH,2025-05-30T21:20:26,pheinstein_NRS,-106.459316215,35.068115672
50,259,Echo Canyon 09,285,1.2,35.0672848266,-106.459516467,5946.033,RG-74114,DOM,0b7af338-c3f6-4b41-ba5f-51137874de4a,BC-0258,Y,400SAND,,2024-05-08T21:25:55,ccarsrud_EH,2025-05-30T21:20:58,pheinstein_NRS,-106.459516467,35.067284827
51,260,Echo Canyon 10,305,1.43,35.0713281966,-106.460754794,6111.284,RG-82383,DOM,9731cba6-12c7-4234-89b9-5850310d07c9,BC-0256,Y,400SAND,,2024-05-08T21:25:55,ccarsrud_EH,2025-05-30T21:23:52,pheinstein_NRS,-106.460754794,35.0713281970001
52,6,EGC 01,306,2.76,35.06898,-106.44325,6101.655,RG-92869 POD 2,DOM,ff8838c7-4819-4f03-a4b8-8547a8d01fc4,BC-0014,M,400SAND,,2024-05-08T21:25:55,ccarsrud_EH,2025-05-30T21:25:03,pheinstein_NRS,-106.44325,35.0689800000001
53,10,Z - EGC 02,85,0.38,35.068989,-106.44319,6104.454,RG-92869 POD 1,DOM,725252f8-e801-4ef1-99c7-d269e35818eb,BC-0019,Z,,,2024-05-08T21:25:55,ccarsrud_EH,2025-06-03T14:17:01,pheinstein_NRS,-106.44319,35.068989
54,11,EGC 03,0,1.15,35.067211,-106.442266,6042.247,RG-54787,DOM,607cd724-88c6-47d9-83a4-37ac1d1075b4,BC-0020,Y,,,2024-05-08T21:25:55,ccarsrud_EH,2025-05-30T21:25:32,pheinstein_NRS,-106.442266,35.067211
55,13,EGC 05,185,1.35,35.059237,-106.46539,5790.533,RG-36085,DOM,15101fab-bbd5-4101-ad94-456daa5710a5,BC-0022,Y,400SAND,,2024-05-08T21:25:55,ccarsrud_EH,2025-05-30T21:26:40,pheinstein_NRS,-106.46539,35.0592370000001
56,14,EGC 06,85,2.3,35.065884,-106.441591,6003.66,RG-35205,DOM,a2281308-b22f-475b-91a8-72323b3ccb80,BC-0023,Y,050QUAL,,2024-05-08T21:25:55,ccarsrud_EH,2025-05-30T21:27:32,pheinstein_NRS,-106.441591,35.065884
57,17,EGC 09,125,1,35.066556,-106.441414,6024.047,RG-33327,DOM,e3a17a97-9732-4067-a975-d184013cdb55,BC-0026,Y,050QUAL,,2024-05-08T21:25:55,ccarsrud_EH,2025-05-30T21:28:17,pheinstein_NRS,-106.441414,35.066556
58,7,EGC 10,267,1.26,35.056431,-106.466587,5844.933,RG-91966,DOM,ab0ca9f9-d334-4146-9135-49709cffc2e3,BC-0015,Y,,,2024-05-08T21:25:55,ccarsrud_EH,2025-05-30T21:33:20,pheinstein_NRS,-106.466587,35.056431
59,8,EGC 11,210,2.45,35.059129,-106.463842,5818.747,RG-91798,DOM,c31b0485-f06c-45b9-96f8-19546ea64458,BC-0016,Y,,,2024-05-08T21:25:55,ccarsrud_EH,2025-05-30T21:33:49,pheinstein_NRS,-106.463842,35.059129
60,9,EGC 12,108,1.4,35.068438,-106.443238,6086.574,RG-25214,DOM,960693db-3088-4135-a0ad-2e497240bca0,BC-0017,Y,050QUAL,,2024-05-08T21:25:55,ccarsrud_EH,2025-05-30T21:34:48,pheinstein_NRS,-106.443238,35.0684380000001
61,193,EGC 13,145,1.55,35.073719,-106.44293,6243.036,RG-30171,DOM,4557262a-63cd-4b8c-8f94-49267da560e1,BC-0018,M,400SAND,,2024-05-08T21:25:55,ccarsrud_EH,2025-05-30T21:35:34,pheinstein_NRS,-106.44293,35.073719
62,357,EGC 14,130,-2.2,35.06775,-106.444492,6064.559,RG-38149,DOM,22de36b1-287c-4062-9ae5-389904e18522,BC-0339,Y,400SAND,,2024-05-08T21:25:55,ccarsrud_EH,2025-05-30T21:35:58,pheinstein_NRS,-106.444492,35.06775
63,243,EGC 15,320,1.25,35.0679489776,-106.443570209,6075.479,RG-38149-POD2,DOM,9ad68ff0-e65b-4026-b401-b7c6cfd261cf,BC-0243,M,400SAND,,2024-05-08T21:25:55,ccarsrud_EH,2025-05-30T21:36:47,pheinstein_NRS,-106.443570209,35.0679489780001
64,258,EGC 16,510,0.88,35.052854316,-106.469277679,5961.214,RG-87064,DOM,643314ac-428c-4e23-b67d-cf2ca7c30b47,BC-0257,Y,400SAND,,2024-05-08T21:25:55,ccarsrud_EH,2025-05-30T21:38:01,pheinstein_NRS,-106.469277679,35.052854316
65,274,EGC 24,140,1.4,35.0637444,-106.4454861,5964.808,RG-46270-POD1,DOM,0fb6554a-753f-4043-af76-ec9b8c6db154,BC-0281,Y,400SAND,,2024-05-08T21:25:55,ccarsrud_EH,2025-05-30T21:38:33,pheinstein_NRS,-106.4454861,35.0637444000001
66,285,EGC 25,0,-1.1,35.0707889,-106.44335,6158.174,RG-93579-POD1,DOM,e4957ac2-bf9d-482f-8837-cb06149b1fa1,BC-0282,Y,,,2024-05-08T21:25:55,ccarsrud_EH,2025-05-30T21:39:11,pheinstein_NRS,-106.44335,35.0707889
67,340,EGC 26,120,1.79,35.0591472,-106.4671722,5767.416,RG-57340,DOM,9a1e84eb-2569-4a07-9b01-eeb69d054daf,BC-0340,Y,050QUAL,,2024-05-08T21:25:55,ccarsrud_EH,2025-05-30T21:40:47,pheinstein_NRS,-106.4671722,35.0591472
